,Country,Year,CO2 Emissions (kt),CH4 Emissions (kt),N2O Emissions (kt),NOx Emissions (kt),SO2 Emissions (kt),Total Emissions (kt)
1911,Dominica,2015,170.15,50.08,2.36,,,222.59000000000003
1912,Estonia,2015,15813.4,45.87,3.1,39.36,24.33,15926.060000000001
1913,Finland,2015,44113.71,194.26,15.99,132.17,41.83,44497.96
1914,France,2015,344096.98,2332.34,139.49,988.2,198.99,347756.0
1915,Germany,2015,795816.36,2270.7,129.76,1364.08,335.77,799916.6699999999
1916,Greece,2015,74957.9,406.07,14.26,233.29,112.13,75723.65
1917,Honduras,2015,9902.61,3705.45,1685.16,,,15293.220000000001
1918,Hungary,2015,46627.61,294.11,15.21,125.85,24.31,47087.09
1919,Iceland,2015,3545.26,26.26,1.05,23.01,60.54,3656.120000000001
1920,Ireland,2015,38545.33,531.61,21.33,110.81,15.08,39224.16
1921,Israel,2015,66100.38,7109.29,2296.83,120.03,100.43,75726.95999999999
1922,Italy,2015,360088.18,1755.34,59.93,735.43,124.49,362763.37
1923,Japan,2015,1222781.31,1242.59,69.59,1302.2,701.73,1226097.4200000002
1924,Kazakhstan,2015,288578.12,2114.33,55.27,588.59,666.64,292002.95000000007
1925,Latvia,2015,7272.71,70.2,6.45,34.55,3.55,7387.46
1926,Liechtenstein,2015,159.71,0.74,0.03,,,160.48000000000002
1927,Lithuania,2015,13297.14,136.98,10.42,60.36,14.93,13519.83
1928,Luxembourg,2015,9333.17,23.3,1.0,27.5,1.3,9386.269999999999
1929,Maldives,2015,1476.89,42.27,16.74,,,1535.9
1930,Malta,2015,1735.3,7.28,0.15,7.5,2.44,1752.67
1931,Monaco,2015,74.36,0.05,0.01,0.19,0.02,74.63
1932,Netherlands,2015,166366.66,728.1,29.56,243.09,30.36,167397.77
1933,New Zealand,2015,35839.19,1388.3,25.0,165.66,75.76,37493.91000000001
1934,Norway,2015,45350.5,202.21,8.36,177.67,17.02,45755.759999999995
